Country Name,Country Code,Year,Import_Dependency_Pct
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1992,-121.3
Middle income,MIC,1992,-14.4
Moldova,MDA,1992,98.2
Mongolia,MNG,1992,12.9
Morocco,MAR,1992,88.1
Mozambique,MOZ,1992,6.3
Myanmar,MMR,1992,1.7
Namibia,NAM,1992,64.2
Nepal,NPL,1992,6.8
Netherlands,NLD,1992,22.5
New Zealand,NZL,1992,14.9
Nicaragua,NIC,1992,34.4
Nigeria,NGA,1992,-270.6
North America,NAC,1992,12.5
North Macedonia,MKD,1992,44.6
Norway,NOR,1992,-558.7
OECD members,OED,1992,26.8
Oman,OMN,1992,-676.0
Pakistan,PAK,1992,20.9
Panama,PAN,1992,171.6
Paraguay,PRY,1992,-43.5
Peru,PER,1992,0.1
Philippines,PHL,1992,47.7
Poland,POL,1992,1.6
Portugal,PRT,1992,89.3
Post-demographic dividend,PST,1992,31.8
Pre-demographic dividend,PRE,1992,-95.2
Qatar,QAT,1992,-295.3
Romania,ROU,1992,29.7
Russian Federation,RUS,1992,-41.6
Rwanda,RWA,1992,3.1
Saudi Arabia,SAU,1992,-514.5
Senegal,SEN,1992,55.1
Serbia,SRB,1992,20.7
Singapore,SGP,1992,197.8
Slovak Republic,SVK,1992,74.7
Slovenia,SVN,1992,41.9
Small states,SST,1992,-123.4
South Africa,ZAF,1992,-27.3
South Asia,SAS,1992,14.0
South Asia (IDA & IBRD),TSA,1992,14.0
Spain,ESP,1992,70.9
Sri Lanka,LKA,1992,30.1
Sub-Saharan Africa,SSF,1992,-65.2
Sub-Saharan Africa (IDA & IBRD countries),TSS,1992,-65.2
Sub-Saharan Africa (excluding high income),SSA,1992,-71.0
Sweden,SWE,1992,38.0
Switzerland,CHE,1992,60.7
Syrian Arab Republic,SYR,1992,-138.8
Tajikistan,TJK,1992,58.8
Tanzania,TZA,1992,8.5
Thailand,THA,1992,42.8
Trinidad and Tobago,TTO,1992,-86.9
Tunisia,TUN,1992,-25.7
Turkiye,TUR,1992,50.8
Turkmenistan,TKM,1992,-367.3
Uganda,UGA,1992,3.4
Ukraine,UKR,1992,50.9
United Arab Emirates,ARE,1992,-443.6
United Kingdom,GBR,1992,4.0
United States,USA,1992,18.1
Upper middle income,UMC,1992,-16.2
Uruguay,URY,1992,62.6
Uzbekistan,UZB,1992,10.0
Viet Nam,VNM,1992,-17.3
World,WLD,1992,0.8
"Yemen, Rep.",YEM,1992,-153.0
Zambia,ZMB,1992,10.5
Zimbabwe,ZWE,1992,12.1
Africa Eastern and Southern,AFE,1993,-22.4
Africa Western and Central,AFW,1993,-211.3
Albania,ALB,1993,0.2
Algeria,DZA,1993,-331.9
Angola,AGO,1993,-378.0
