year,population,Region
2018,37977.5,Central Jutland
2019,37529.0,Central Jutland
2020,36996.25,Central Jutland
2021,36979.0,Central Jutland
2022,37015.25,Central Jutland
2023,36949.5,Central Jutland
2024,36738.0,Central Jutland
2008,29577.5,Southern Denmark
2009,29658.5,Southern Denmark
2010,29574.5,Southern Denmark
2011,29472.5,Southern Denmark
2012,29286.0,Southern Denmark
2013,29124.0,Southern Denmark
2014,29041.75,Southern Denmark
2015,29164.5,Southern Denmark
2016,29341.0,Southern Denmark
2017,29543.0,Southern Denmark
2018,29608.0,Southern Denmark
2019,29726.75,Southern Denmark
2020,29636.0,Southern Denmark
2021,29583.5,Southern Denmark
2022,29811.5,Southern Denmark
2023,29692.75,Southern Denmark
2024,29549.0,Southern Denmark
2008,31646.0,Southern Denmark
2009,31716.75,Southern Denmark
2010,31623.5,Southern Denmark
2011,31530.5,Southern Denmark
2012,31415.0,Southern Denmark
2013,31297.25,Southern Denmark
2014,31374.0,Southern Denmark
2015,31667.25,Southern Denmark
2016,31999.0,Southern Denmark
2017,32079.75,Southern Denmark
2018,32033.25,Southern Denmark
2019,32010.5,Southern Denmark
2020,31958.25,Southern Denmark
2021,31992.5,Southern Denmark
2022,32132.25,Southern Denmark
2023,32279.25,Southern Denmark
2024,32229.25,Southern Denmark
2008,80856.25,Zealand Region
2009,81021.75,Zealand Region
2010,81018.0,Zealand Region
2011,80932.0,Zealand Region
2012,81149.75,Zealand Region
2013,81205.25,Zealand Region
2014,81514.75,Zealand Region
2015,81892.0,Zealand Region
2016,82463.75,Zealand Region
2017,82740.25,Zealand Region
2018,83000.0,Zealand Region
2019,83065.5,Zealand Region
2020,83113.5,Zealand Region
2021,83412.5,Zealand Region
2022,84230.5,Zealand Region
2023,84625.0,Zealand Region
2024,84801.25,Zealand Region
2008,21589.75,Central Jutland
2009,21625.25,Central Jutland
2010,21793.25,Central Jutland
2011,21815.75,Central Jutland
2012,21789.75,Central Jutland
2013,21824.5,Central Jutland
2014,21810.5,Central Jutland
2015,21979.5,Central Jutland
2016,22192.75,Central Jutland
2017,22466.75,Central Jutland
2018,22626.25,Central Jutland
2019,22752.0,Central Jutland
2020,22891.75,Central Jutland
2021,23076.0,Central Jutland
2022,23466.0,Central Jutland
2023,23753.25,Central Jutland
2024,23948.0,Central Jutland
2008,187137.75,Southern Denmark
2009,188167.25,Southern Denmark
2010,189222.25,Southern Denmark
2011,190549.0,Southern Denmark
2012,192094.75,Southern Denmark
2013,194097.25,Southern Denmark
2014,196327.0,Southern Denmark
2015,197864.5,Southern Denmark
2016,199634.75,Southern Denmark
2017,201052.75,Southern Denmark
2018,202899.25,Southern Denmark
2019,204442.25,Southern Denmark
2020,205150.0,Southern Denmark
2021,205306.75,Southern Denmark
2022,206672.25,Southern Denmark
2023,208047.5,Southern Denmark
2024,209747.25,Southern Denmark
2008,33169.0,Zealand Region
2009,33155.75,Zealand Region
2010,32969.25,Zealand Region
2011,32794.0,Zealand Region
2012,32550.0,Zealand Region
2013,32465.0,Zealand Region
2014,32640.5,Zealand Region
2015,32781.5,Zealand Region
2016,32880.25,Zealand Region
2017,33065.25,Zealand Region
2018,33116.0,Zealand Region
2019,33126.0,Zealand Region
2020,32918.5,Zealand Region
2021,32942.5,Zealand Region
2022,32956.5,Zealand Region
2023,32831.0,Zealand Region
2024,32504.0,Zealand Region
2008,93855.25,Central Jutland
2009,94481.0,Central Jutland
2010,94944.0,Central Jutland
2011,95466.75,Central Jutland
2012,95848.5,Central Jutland
2013,96077.0,Central Jutland
2014,96540.25,Central Jutland
2015,96984.75,Central Jutland
2016,97700.75,Central Jutland
2017,98169.25,Central Jutland
2018,98090.75,Central Jutland
2019,97925.5,Central Jutland
2020,97974.5,Central Jutland
2021,98465.5,Central Jutland
2022,99444.25,Central Jutland
2023,99847.25,Central Jutland
2024,100162.25,Central Jutland
2008,28828.5,North Jutland
2009,28881.5,North Jutland
2010,28885.75,North Jutland
2011,28960.25,North Jutland
2012,28891.5,North Jutland
2013,28847.25,North Jutland
2014,28850.5,North Jutland
2015,28978.0,North Jutland
2016,29216.5,North Jutland
2017,29569.5,North Jutland
2018,29876.25,North Jutland
2019,30005.5,North Jutland
2020,30279.5,North Jutland
2021,30554.5,North Jutland
2022,30806.75,North Jutland
2023,30900.0,North Jutland
2024,30942.75,North Jutland
2008,1651460.5,
2009,1668737.0,
2010,1687454.25,
2011,1704860.5,
2012,1720777.75,
2013,1738018.5,
2014,1756531.5,
2015,1775746.25,
2016,1796030.75,
2017,1813239.5,
2018,1827539.5,
2019,1841141.5,
2020,1848688.75,
2021,1858754.0,
2022,1877300.5,
