Municipality,Region,year,purchase_price_mean,purchase_price_median,sqm_price_mean,sqm_price_median,sqm_mean,no_rooms_mean,%_change_between_offer_and_purchase_mean,nom_interest_rate%_mean,dk_ann_infl_rate%_mean,yield_on_mortgage_credit_bonds%_mean,no_sales,income,population,affordability,sales_per_1000,urban_rural
Svendborg,Southern Denmark,2013,1702249.4844720496,1260000.0,14703.253,10756.71435546875,129.96274,4.273291925465839,-5.9440994,0.0,0.79,3.4800003,322,326588.6666666667,58152.0,22.21200075021947,5.537212821571055,Urban
Svendborg,Southern Denmark,2014,1685875.1174603174,1375000.0,13863.904,11250.0,135.86667,4.552380952380952,-5.895238,0.0,0.56,3.06,315,334113.0,57964.5,24.099488859703587,5.434360686282121,Urban
Svendborg,Southern Denmark,2015,1677160.5547445256,1400000.0,12624.524,10820.3125,142.09732,4.70316301703163,-5.4744525,0.0,0.45,2.78,411,339770.6666666667,58097.5,26.913542773309054,7.074314729549465,Urban
Svendborg,Southern Denmark,2016,1680846.5639686685,1400000.0,13622.06,11203.7041015625,135.36293,4.433420365535248,-4.279373,0.0,0.25,2.55,383,345195.3333333333,58384.25,25.340905364778404,6.559988353023289,Urban
Svendborg,Southern Denmark,2017,1894893.9179810728,1500000.0,13997.789,12083.3330078125,138.0631,4.6372239747634065,-3.6624606,0.0,1.15,2.26,317,352671.3333333333,58594.5,25.194788500764894,5.410064084513052,Urban
Svendborg,Southern Denmark,2018,2084879.6011315417,1675000.0,17962.186,13676.470703125,132.71854,4.427157001414427,-2.9674683,0.0,0.81,2.12,707,358617.3333333333,58695.5,19.96512748132846,12.045216413524036,Urban
Svendborg,Southern Denmark,2019,2052517.24535809,1650214.0,16662.523,13430.76904296875,134.8488,4.464190981432361,-2.9482758,0.0,0.76,1.35,754,375425.0,58545.25,22.531101682500303,12.878926983828748,Urban
Svendborg,Southern Denmark,2020,2145277.887559809,1775000.0,16952.652,14481.40478515625,134.1531,4.491626794258373,-2.5167465,0.0,0.42,1.1,836,392830.3333333333,58314.25,23.172205347772923,14.336118530204882,Urban
Svendborg,Southern Denmark,2021,2281411.6025641025,1900000.0,17754.564,15867.47509765625,136.39636,4.477564102564102,-1.8878205,0.0,1.85,1.47,936,412536.3333333333,58860.0,23.235509096890993,15.902140672782874,Urban
Svendborg,Southern Denmark,2022,2369638.652366864,1995000.0,18995.102,16077.67236328125,131.48225,4.368343195266272,-2.224852,0.11249999,7.6999993,3.73,676,414700.3333333333,59432.75,21.831961383167794,11.374200251544814,Urban
Svendborg,Southern Denmark,2023,2474491.3152337857,2025000.0,18566.36,16635.513671875,137.13274,4.521870286576169,-3.6199095,2.8224735,3.31,4.79,663,427130.3333333333,59735.0,23.005604401365336,11.099020674646356,Urban
Svendborg,Southern Denmark,2024,2337786.268442623,1997500.0,18377.008,16758.90625,131.1373,4.456967213114754,-3.477459,3.5241802,1.1299999,4.34,488,434737.6666666667,59798.0,23.656607575437015,8.160808053781063,Urban
Syddjurs,Central Jutland,2008,1706625.119089317,1378000.0,14571.81,12333.3330078125,126.16463,4.415061295971979,-2.7513134,4.040718,3.42,6.52,571,292203.0,41319.5,20.052622151949553,13.819141083507787,Rural
Syddjurs,Central Jutland,2009,1418510.4417177914,1295000.0,12802.022,11402.298828125,122.092026,4.447852760736196,-4.4744377,1.8891616,1.3,5.5,489,294672.0,41353.25,23.0176139362985,11.824947253238863,Rural
Syddjurs,Central Jutland,2010,1411399.93728223,1125000.0,13010.265,10815.98681640625,124.44599,4.390243902439025,-3.6655052,0.8087979,2.31,4.53,574,319293.6666666667,41535.0,24.541672799644488,13.819670157698328,Rural
Syddjurs,Central Jutland,2011,1373405.9248927038,1110725.5,11123.225,9872.97998046875,133.53648,4.585836909871245,-4.7896996,0.99839056,2.76,4.75,466,328159.3333333333,41781.0,29.502175253429947,11.153395083889807,Rural
Syddjurs,Central Jutland,2012,1335595.2007366482,1095000.0,11852.259,10319.1494140625,123.780846,4.504604051565377,-5.2541437,0.43001842,2.4,3.66,543,340807.0,41861.25,28.754602814535186,12.971423452476932,Rural
Syddjurs,Central Jutland,2013,1307562.8707360865,1050000.0,11187.05,9832.1630859375,127.078995,4.551166965888689,-4.4039497,0.0,0.79,3.48,557,357613.3333333333,41777.0,31.96672342872637,13.332695023577568,Rural
Syddjurs,Central Jutland,2014,1307372.354632588,1050000.0,11464.631,10449.68701171875,123.59585,4.404153354632588,-5.0862617,0.0,0.56,3.06,626,352052.3333333333,41690.25,30.707689879712074,15.01550122630591,Rural
Syddjurs,Central Jutland,2015,1454087.9211136892,1187500.0,12964.526,11757.42578125,122.339905,4.408352668213457,-3.5928075,0.0,0.45,2.7799997,862,362145.3333333333,41811.0,27.933557565724602,20.616584152495754,Rural
Syddjurs,Central Jutland,2016,1493072.8259212198,1280000.0,12819.254,11301.3701171875,126.682335,4.407878017789073,-3.4091487,0.0,0.25,2.55,787,370052.6666666667,41899.25,28.866942387339126,18.783152443062825,Rural
Syddjurs,Central Jutland,2017,1494261.090443686,1200000.0,13377.417,10821.48095703125,123.94027,4.399317406143345,-3.3737202,0.0,1.15,2.26,586,379191.0,42143.75,28.345606629441246,13.904790152751001,Rural
Syddjurs,Central Jutland,2018,1629719.55,1250000.0,14271.368,11809.76708984375,125.32119,4.4491525423728815,-3.1016948,0.0,0.81,2.12,1180,382240.0,42581.0,26.78369726013652,27.711890279702217,Rural
Syddjurs,Central Jutland,2019,1604112.2509992006,1300000.0,13729.375,11855.669921875,125.79696,4.509192645883293,-3.292566,0.0,0.76,1.35,1251,398998.3333333333,42876.5,29.061653085689137,29.176821802152695,Rural
Syddjurs,Central Jutland,2020,1702085.9983041266,1425000.0,15421.483,13872.548828125,119.65574,4.378745053702657,-2.244771,0.0,0.42,1.1,1769,416211.0,43096.75,26.989038602837354,41.04717873157489,Rural
Syddjurs,Central Jutland,2021,1932687.7270754208,1650000.0,17455.727,15766.12890625,122.4981,4.38415626695605,-1.3022246,0.0,1.85,1.47,1843,444618.6666666667,43387.0,25.471220228562622,42.47816166132713,Rural
Syddjurs,Central Jutland,2022,1997057.593973037,1650000.0,17599.094,15238.095703125,123.11499,4.40761300555115,-2.8421888,0.12113402,7.7000003,3.7299998,1261,429104.0,43906.0,24.382164218226233,28.720448230310208,Rural
Syddjurs,Central Jutland,2023,1947385.4597510376,1587000.0,18495.854,16197.1826171875,113.25311,4.189211618257262,-3.160996,2.8446472,3.31,4.79,1205,440788.6666666667,44217.5,23.831755304008492,27.251653756996664,Rural
Syddjurs,Central Jutland,2024,2006686.968503937,1650000.0,18308.258,16666.666015625,117.635544,4.298087739032621,-3.7660294,3.5136669,1.13,4.34,889,450283.0,44092.75,24.59452996565812,20.16204478060452,Rural
Sønderborg,Southern Denmark,2008,1728789.4169381107,1250000.0,14004.234,9260.29443359375,140.3241,4.552117263843648,-2.058632,4.0521173,3.4200003,6.52,614,273738.0,76875.25,19.546802774075324,7.9869658960458665,Urban
Sønderborg,Southern Denmark,2009,1364907.5714285714,1095000.0,10371.28,8794.642578125,138.59184,4.469387755102041,-3.3537414,1.9249433,1.3,5.5,441,260284.66666666663,76680.5,25.096677234311155,5.751136208032029,Urban
Sønderborg,Southern Denmark,2010,1391456.3935264056,1130000.0,11140.194,8682.634765625,141.97275,4.5945485519591145,-2.8739352,0.7994037,2.31,4.53,587,302764.6666666667,76344.0,27.177683500544667,7.688881902965524,Urban
Sønderborg,Southern Denmark,2011,1721322.096892139,1219000.0,14867.276,9489.05078125,135.66362,4.336380255941499,-3.299817,0.95795244,2.76,4.75,547,305580.6666666667,76235.75,20.553910929390607,7.175111414264305,Urban
Sønderborg,Southern Denmark,2012,1347459.0111607143,1100000.0,11219.976,8571.4287109375,140.5,4.558035714285714,-4.011161,0.48325893,2.4,3.66,448,315957.3333333333,75994.0,28.160250372490395,5.895202252809432,Urban
Sønderborg,Southern Denmark,2013,1336684.8834498834,1100000.0,11205.27,8583.3330078125,139.91841,4.44988344988345,-4.230769,0.0,0.79,3.48,429,318945.3333333333,75631.0,28.463868638000985,5.672277240813952,Urban
